180518/0664/106;Право заключения договора на Поставка подшипников на Билибинскую АЭС;"Филиал АО ""Концерн Росэнергоатом"" ""Билибинская атомная станция""";3 515 213,63;28.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180664106
180424/0451/139;поставка товарно-материальных ценностей для нужд Госкорпорации «Росатом»;"Государственная корпорация по атомной энергии ""Росатом""";856 400,00;11.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1804240451139
180518/0464/377;Поставка рентгенпленки;"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";594 568,06;01.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464377
180518/0467/492;Поставка спортинвентаря согласно ТЗ;"Федеральное государственное унитарное предприятие ""Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики""";360 480,00;09.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180467492
180515/0499/229;поставка песка гранатового Mesh 80;"Акционерное общество ""Ордена Ленина Научно-исследовательский и конструкторский институт энерготехники имени Н.А. Доллежаля""";400 000,00;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150499229
180518/0536/759;"Право заключения договора на Поставка тахографического оборудования, оборудования системы ГЛОНАСС и автосигнализации, а также выполнение работ по их установке на транспортные средства для нужд АО ""Атомэнергопроект"" (лот 343Пр/ЗЦ-018)";"Акционерное общество Инжиниринговая компания ""АСЭ""";201 743,45;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180536759
180518/0495/088;Право заключения договора на изготовление и поставку 20 контейнеров для технологических нужд радиохимического корпуса №6;"Акционерное общество ""РАДИЕВЫЙ ИНСТИТУТ ИМЕНИ В.Г. ХЛОПИНА""";2 554 700,00;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180495088
180518/0464/376;Право заключения договора на Поставка спецодежды летней;"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";1 827 094,88;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464376
180516/0499/228;поставка труб 12Х18Н10Т;"Акционерное общество ""Ордена Ленина Научно-исследовательский и конструкторский институт энерготехники имени Н.А. Доллежаля""";290 857,90;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160499228
180518/0532/023;Право заключения договора на Поставка кресел.;"Акционерное общество ""Атомтранс""";728 193,36;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180532023
180516/0513/713;Поставка смазок, масел для техники малой механизации в ассортименте;"Акционерное общество ""Российский концерн по производству электрической и тепловой энергии на атомных станциях""";929 975,99;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160513713
180518/0539/215;Поставка инертных материалов;"Акционерное общество ""Атомспецтранс""";475 901,32;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180539215
